Image,ID,contrast,energy,homogeneity
TCGA_CS_4941_19960909_5_post-contrast.tif_removed_background.png,TCGA_CS_4941_19960909_5_post-contrast,[[ 61.95663297 118.65908497  67.64938725 118.85868512]],[[0.09215493 0.08338268 0.08775962 0.08299611]],[[0.36217003 0.30186776 0.34030039 0.29840232]]
TCGA_FG_6690_20020226_14_post-contrast.tif_removed_background.png,TCGA_FG_6690_20020226_14_post-contrast,[[ 63.47659314 108.52009227  63.58763787 120.44762784]],[[0.25245743 0.23539063 0.2479272  0.23638023]],[[0.5746787  0.53341565 0.56661302 0.53391537]]
TCGA_FG_8189_20030516_12_post-contrast.tif_removed_background.png,TCGA_FG_8189_20030516_12_post-contrast,[[37.15001532 70.93845444 41.75519301 78.53005767]],[[0.16726245 0.15413166 0.16383064 0.15421483]],[[0.4641378  0.41162408 0.46460547 0.41133079]]
TCGA_CS_6186_20000601_4_post-contrast.tif_removed_background.png,TCGA_CS_6186_20000601_4_post-contrast,[[ 77.57973346 131.99430988  69.07115502 134.5737178 ]],[[0.09912464 0.09434643 0.09899075 0.09437479]],[[0.33685696 0.29349819 0.34590908 0.29231092]]
TCGA_CS_5397_20010315_5_post-contrast.tif_removed_background.png,TCGA_CS_5397_20010315_5_post-contrast,[[47.27867647 66.20264514 28.87507659 72.53374856]],[[0.25792048 0.24928513 0.25831394 0.24910048]],[[0.61395241 0.56337139 0.61187415 0.56461381]]
TCGA_DU_5872_19950223_14_post-contrast.tif_removed_background.png,TCGA_DU_5872_19950223_14_post-contrast,[[ 77.2604473  141.54752787  72.77120098 133.24176855]],[[0.15082601 0.13882835 0.14638587 0.13896659]],[[0.45944459 0.39905534 0.44387731 0.39990296]]
TCGA_CS_5395_19981004_2_post-contrast.tif_removed_background.png,TCGA_CS_5395_19981004_2_post-contrast,[[52.98348652 86.00984237 44.69776348 94.37105729]],[[0.26315045 0.25941148 0.26574082 0.25896913]],[[0.4966856  0.45663727 0.49554353 0.46021527]]
TCGA_FG_5964_20010511_5_post-contrast.tif_removed_background.png,TCGA_FG_5964_20010511_5_post-contrast,[[103.88757659 167.89699346  76.85375306 164.57128797]],[[0.05126537 0.04652934 0.05350477 0.04640439]],[[0.2814286  0.23978109 0.30128965 0.23934826]]
TCGA_DU_5874_19950510_8_post-contrast.tif_removed_background.png,TCGA_DU_5874_19950510_8_post-contrast,[[58.44457721 86.78995771 46.6884038  91.08584391]],[[0.28409123 0.27794971 0.28395346 0.27772802]],[[0.54695228 0.5123368  0.54262527 0.51173338]]
TCGA_DU_5855_19951217_5_post-contrast.tif_removed_background.png,TCGA_DU_5855_19951217_5_post-contrast,[[39.04932598 65.5850519  32.14754902 67.2182699 ]],[[0.42935291 0.42304779 0.43133657 0.42235966]],[[0.66969851 0.64552961 0.67924734 0.64637674]]
TCGA_CS_5393_19990606_4_post-contrast.tif_removed_background.png,TCGA_CS_5393_19990606_4_post-contrast,[[ 89.05459559 135.08393695  62.04257047 141.59343329]],[[0.25262662 0.25092238 0.25816905 0.25086651]],[[0.49545832 0.45938397 0.49430545 0.45933318]]
TCGA_FG_7637_20000922_8_post-contrast.tif_removed_background.png,TCGA_FG_7637_20000922_8_post-contrast,[[53.53399203 96.38154556 52.8120864  95.57902345]],[[0.31839903 0.30404317 0.31836593 0.30549975]],[[0.59002712 0.55360704 0.5892759  0.55612481]]
TCGA_FG_7643_20021104_8_post-contrast.tif_removed_background.png,TCGA_FG_7643_20021104_8_post-contrast,[[ 94.90968137 154.2361707   76.22555147 145.30359093]],[[0.16401264 0.15738558 0.16859462 0.15750169]],[[0.45303213 0.4190313  0.47263486 0.41873931]]
TCGA_FG_A4MT_20020212_5_post-contrast.tif_removed_background.png,TCGA_FG_A4MT_20020212_5_post-contrast,[[ 93.76715686 152.71746251  71.46462929 157.57845444]],[[0.14910774 0.13871023 0.15287782 0.13770401]],[[0.42508971 0.38302073 0.44361113 0.38265923]]
TCGA_CS_5396_20010302_7_post-contrast.tif_removed_background.png,TCGA_CS_5396_20010302_7_post-contrast,[[ 57.234375    87.42449827  45.37696078 100.23966167]],[[0.17100745 0.162206   0.17064447 0.16220143]],[[0.48396272 0.43943639 0.48560635 0.43879688]]
TCGA_DU_5852_19950709_7_post-contrast.tif_removed_background.png,TCGA_DU_5852_19950709_7_post-contrast,[[ 85.76832108 133.75772395  68.27699142 129.40164552]],[[0.29953397 0.29364204 0.29949411 0.29376723]],[[0.53826642 0.50291886 0.53656437 0.50729524]]
TCGA_DU_5849_19950405_11_post-contrast.tif_removed_background.png,TCGA_DU_5849_19950405_11_post-contrast,[[ 82.69537377 128.49779316  55.37936581 110.17410227]],[[0.32697908 0.32127407 0.32698403 0.3215575 ]],[[0.56515005 0.53474753 0.5674306  0.53361426]]
